Young Modulus         Poison Coeficient
34735873176.905388    0.245945 
34260536719.109715    0.241962 
31859437091.313030    0.214795 
29776280656.119823    0.192042 
29939419867.480606    0.192699 
31329924137.632915    0.204366 
31824441208.090996    0.205388 
30638243375.595848    0.192150 
28609394341.598999    0.178817 
27004363233.665295    0.172756 
33901327799.052242    0.246631 
32784873831.043465    0.233716 
31463479076.142128    0.204168 
30076059391.389370    0.188242 
29207943563.908688    0.194874 
28952323503.867073    0.204002 
28632535972.339428    0.202794 
27885367532.827805    0.193353 
26959656760.428596    0.183627 
26264347903.398624    0.180368 
31874428083.410984    0.243129 
30651827022.237099    0.222389 
30298486581.224689    0.196489 
29636580942.057076    0.192440 
28322493306.666439    0.203459 
27385315028.700283    0.206176 
27138709047.025650    0.200839 
27169448633.153660    0.192828 
27163013679.007736    0.184124 
26911131373.382660    0.181514 
29991782670.309177    0.236075 
29367813525.808487    0.216258 
29687175315.732063    0.199267 
29637780117.266388    0.204637 
28589022409.542747    0.215099 
27661282044.980450    0.210465 
27580520032.310318    0.200684 
28216711450.572937    0.191645 
28899411204.072178    0.181517 
28633591498.318855    0.176776 
30213623123.610443    0.227370 
29587427665.456535    0.213977 
29591299241.714272    0.206491 
29863639805.720840    0.216223 
29568010170.411846    0.221982 
28948720824.190445    0.211341 
28603789260.946411    0.199141 
28802925519.593868    0.190019 
29290911619.099968    0.180413 
29099967639.319809    0.175563 
31392158077.414055    0.214663 
30195658533.795563    0.208116 
29276790275.077091    0.207592 
29408904579.386242    0.218032 
29629205542.749878    0.218625 
29202286498.035950    0.205138 
28476907208.177456    0.193742 
27726828369.552322    0.185993 
27325674554.113750    0.178631 
27434286963.796329    0.179112 
31774769699.637268    0.203776 
30135294103.687309    0.199023 
28625813630.071419    0.200517 
28463859587.348221    0.210585 
28850081654.282314    0.211254 
28410776456.845654    0.199801 
27397716389.415070    0.189655 
26346459542.275616    0.181802 
25680764368.693588    0.175774 
26078228118.501923    0.182202 
32056194197.465714    0.205359 
30508663118.024185    0.197102 
29014406157.561779    0.194691 
28558749595.488811    0.201230 
28900856269.179169    0.205326 
28647275336.350208    0.200393 
27714431918.404133    0.192021 
26885171268.652931    0.183259 
26323716116.169357    0.176570 
26268271491.089935    0.182205 
32751582556.648209    0.206790 
32348814013.254288    0.200305 
31703224773.437206    0.196183 
31020387442.577518    0.195738 
30747592819.123043    0.198920 
30576235780.674248    0.201393 
30176696605.050259    0.200055 
29588176557.311607    0.194459 
28392689179.695797    0.184615 
26649970554.869801    0.180647 
32654168894.610085    0.186784 
33633166323.137024    0.184662 
34367361832.726410    0.185318 
34102775075.744843    0.184877 
33046887701.480904    0.190637 
32283150271.810169    0.203426 
32259069727.519558    0.215792 
32019760482.509968    0.218528 
29981066148.501221    0.202675 
26319192876.192795    0.181100 
