Young Modulus         Poison Coeficient
34547622478.753693    0.245792 
33945009415.803768    0.241894 
31882093248.288715    0.217786 
30183802908.889503    0.198534 
30304856150.032005    0.198751 
31334733859.594444    0.207432 
31565454239.230843    0.206494 
30410720350.371960    0.193228 
28582507787.657646    0.180286 
27046765933.848564    0.173301 
33687596766.046371    0.246928 
32618573002.413643    0.235042 
31489565326.135834    0.206828 
30356792335.507607    0.191853 
29498771610.903503    0.197881 
29004937499.208771    0.204928 
28481612760.022537    0.201637 
27717521476.629498    0.191237 
26902202732.772762    0.181896 
26322978615.991962    0.179804 
31671878843.962009    0.243337 
30657143906.414009    0.223076 
30342733048.595100    0.196124 
29747920754.234695    0.191210 
28496967297.247559    0.202918 
27470257173.837708    0.206320 
27089980860.699242    0.200429 
27059986029.990578    0.191351 
27067956585.646584    0.182514 
26968291961.905151    0.181017 
29832795646.179375    0.235887 
29459994443.322449    0.215277 
29766024249.642082    0.196419 
29635114377.805481    0.201099 
28638060863.605476    0.213341 
27731164807.528172    0.211238 
27600697617.165825    0.202636 
28176327494.824238    0.192952 
28799687658.782211    0.181753 
28654749478.407234    0.176860 
30084341842.846062    0.227175 
29688832803.983475    0.213035 
29720316332.703979    0.204448 
29823918554.265957    0.213755 
29496603505.723877    0.220731 
28958059241.480469    0.212321 
28648426187.520424    0.201900 
28831599715.767250    0.192848 
29251119466.691624    0.181871 
29064764883.344955    0.175944 
31276774201.059490    0.214793 
30270667691.871555    0.208534 
29452785668.563404    0.207903 
29394313677.024879    0.217370 
29476340976.693420    0.217348 
29140398776.407520    0.204344 
28512801198.342289    0.194047 
27794918371.759964    0.187272 
27374533587.311470    0.179841 
27366584212.383598    0.179375 
31684129797.298946    0.204082 
30177350140.039627    0.200056 
28815019602.882790    0.201510 
28503230218.137985    0.209681 
28684923572.392513    0.207989 
28307983464.911911    0.195701 
27423676068.804974    0.186461 
26420431186.323143    0.180527 
25774474761.588791    0.175944 
26020006276.038689    0.182187 
32010100668.711006    0.205283 
30519210678.962391    0.196967 
29167139568.651340    0.194394 
28630570904.259369    0.199544 
28773210838.618931    0.201275 
28542429037.431210    0.195283 
27739972707.550747    0.187989 
26946406227.626381    0.181120 
26390452656.669579    0.176001 
26254905890.547421    0.182021 
32748667907.180965    0.206114 
32344393541.780655    0.198228 
31790421215.507847    0.194041 
31078043203.597042    0.194694 
30667835250.960808    0.198582 
30493366108.853840    0.201024 
30191532115.966484    0.199444 
29619850755.348633    0.193429 
28400078960.618153    0.183414 
26676632374.123642    0.180556 
32657247870.566128    0.187204 
33620208275.475277    0.185374 
34376582897.163612    0.186172 
34103942077.652477    0.186981 
33002859212.979286    0.194628 
32233208273.803730    0.207936 
32242850738.053539    0.219093 
32015213403.816792    0.220052 
29960397723.680321    0.203002 
26341174784.026600    0.181327 
