Young Modulus         Poison Coeficient
34858308199.290291    0.246034 
34384680769.721817    0.242125 
31829703708.462959    0.213975 
29570989637.396591    0.189786 
29756193398.230927    0.190198 
31331363891.175655    0.202593 
31961771227.102638    0.204236 
30766599466.237553    0.191223 
28629793183.653008    0.178020 
26970040413.361656    0.172529 
34035834409.420238    0.246540 
32857186477.448734    0.233377 
31424911293.471527    0.203407 
29906611223.995964    0.187084 
29050441384.367085    0.193993 
28940294857.148243    0.204019 
28729015262.660984    0.203632 
27981442655.463676    0.194494 
26989252668.470718    0.184470 
26217353695.532467    0.180602 
32012222849.098183    0.243094 
30660119096.325348    0.222307 
30240783023.884846    0.196791 
29522868632.835869    0.193044 
28210253513.489983    0.204069 
27366646457.887459    0.206896 
27201819303.776024    0.201796 
27238701879.006584    0.193890 
27205243526.747280    0.184948 
26862249779.556679    0.181717 
30124385734.852875    0.236117 
29339780351.429909    0.216439 
29605757607.515537    0.199967 
29572731511.971100    0.205585 
28533178692.966518    0.215625 
27648999040.596401    0.210440 
27619307895.304146    0.200416 
28261335335.474308    0.191472 
28941283502.576424    0.181584 
28603670935.680477    0.176796 
30343223628.529209    0.227307 
29552052834.349442    0.213721 
29486357339.312546    0.206315 
29828497409.444439    0.216179 
29574233028.167084    0.221589 
28954992420.342197    0.210328 
28625043451.634197    0.197752 
28825848361.091206    0.188758 
29311745526.535191    0.179740 
29099707949.750534    0.175414 
31509330306.638100    0.214507 
30168902266.609016    0.207450 
29155816704.453136    0.206630 
29380012086.557999    0.217327 
29683932133.037338    0.218098 
29228919480.390385    0.204413 
28482951854.338543    0.192786 
27733833054.750256    0.185012 
27317858706.668343    0.177933 
27449916537.796509    0.178956 
31858198963.531231    0.203699 
30121578445.982353    0.198710 
28504441225.097275    0.200177 
28424301529.245289    0.210894 
28920117523.372974    0.212298 
28446345885.634624    0.200992 
27388415513.410610    0.190513 
26341131753.866997    0.182185 
25656901376.855064    0.175761 
26090212599.110531    0.182201 
32097789713.054306    0.205399 
30510041165.694729    0.197380 
28913409678.088650    0.195337 
28513019117.997730    0.202695 
28962727668.440681    0.207708 
28681289378.589890    0.202952 
27694981727.473217    0.193953 
26871994162.502705    0.184351 
26302301536.244556    0.176981 
26270192399.106030    0.182279 
32761224149.354183    0.207085 
32357383540.616833    0.201317 
31637775361.994373    0.197425 
30985591091.651897    0.196916 
30792711772.512512    0.200099 
30605857433.077660    0.202366 
30162554662.715462    0.200627 
29577520193.289047    0.194842 
28384960533.407696    0.184964 
26646341743.803078    0.180739 
32654974323.451859    0.186735 
33639778530.836967    0.184707 
34351927780.009659    0.185389 
34098503000.139095    0.184225 
33072027689.766216    0.188951 
32304915303.723164    0.201488 
32264829350.974258    0.214389 
32022472011.721951    0.217753 
29983362416.942196    0.202340 
26318023087.018848    0.181005 
