Young Modulus         Poison Coeficient
34910963462.548599    0.246053 
34416114441.298904    0.242154 
31810861621.983883    0.213760 
29499481550.720928    0.189169 
29695985900.910637    0.189463 
31336998952.346016    0.202010 
32012660631.087379    0.203807 
30812339163.885513    0.190886 
28637592623.436535    0.177759 
26953104584.078293    0.172457 
34090734004.989902    0.246524 
32876268972.801407    0.233323 
31402039649.732822    0.203267 
29842406997.279873    0.186849 
28996880057.788593    0.193848 
28941996911.165882    0.204131 
28767857709.496883    0.203956 
28016391524.065334    0.194877 
26998690466.165905    0.184743 
26196430651.068920    0.180677 
32067733337.987064    0.243103 
30663564891.228497    0.222354 
30211144038.075443    0.196957 
29472559303.913216    0.193298 
28169150256.532078    0.204365 
27366297136.026527    0.207266 
27231918503.734303    0.202220 
27265983677.399345    0.194281 
27217893481.727760    0.185220 
26841037011.319672    0.181782 
30179420897.056656    0.236124 
29334164834.212238    0.216464 
29568820228.952820    0.200097 
29536412676.010784    0.205775 
28508748883.723969    0.215748 
27649965944.771393    0.210493 
27642749442.406414    0.200447 
28282708239.626003    0.191504 
28953635633.804607    0.181640 
28588314182.880032    0.176811 
30399053786.801460    0.227260 
29544569767.803665    0.213516 
29442819763.079174    0.206048 
29803476719.721684    0.215927 
29569399231.588272    0.221268 
28959922528.523167    0.209900 
28642137474.709541    0.197290 
28842506641.774021    0.188369 
29319036390.955189    0.179524 
29094152464.582542    0.175365 
31560598932.558746    0.214433 
30163647108.760807    0.207133 
29108664812.396099    0.206145 
29360486035.692028    0.216877 
29695318945.221321    0.217689 
29237445898.053120    0.203958 
28492381869.960594    0.192311 
27745972649.534111    0.184606 
27318442776.536034    0.177672 
27449801638.243038    0.178895 
31894892161.040085    0.203685 
30120359992.607018    0.198632 
28458283046.074333    0.200064 
28404903559.071922    0.210931 
28937894183.103828    0.212500 
28454954733.238811    0.201206 
27389463081.411476    0.190651 
26348121604.998390    0.182255 
25653280220.281937    0.175768 
26089528848.443424    0.182205 
32116912589.967255    0.205425 
30512922249.524193    0.197519 
28874659414.329594    0.195617 
28494544776.612324    0.203234 
28979678994.510323    0.208495 
28687966423.306602    0.203761 
27690286213.887054    0.194583 
26874308173.049278    0.184752 
26297863439.205910    0.177168 
26267168919.346867    0.182318 
32767167447.498283    0.207169 
32362051010.326889    0.201622 
31611899102.367355    0.197834 
30972621446.209549    0.197395 
30806192599.740440    0.200640 
30611647291.730419    0.202820 
30158367604.083748    0.200895 
29578602255.422974    0.194987 
28382887917.302944    0.185050 
26643618711.297508    0.180759 
32655583083.054993    0.186745 
33641955456.084354    0.184826 
34344476934.681789    0.185586 
34095900975.741550    0.184193 
33079423534.698467    0.188544 
32310565508.065372    0.200938 
32266657269.682743    0.213937 
32024953136.935471    0.217457 
29984003295.155102    0.202192 
26317531103.235924    0.180966 
