Young Modulus         Poison Coeficient
35007057813.268799    0.246057 
34449752801.506676    0.242129 
31768072702.295521    0.213426 
29388485995.978821    0.188327 
29609869354.729374    0.188459 
31354531501.888123    0.201193 
32095990819.024052    0.203184 
30883133116.657776    0.190404 
28649688433.297939    0.177402 
26919984815.686813    0.172358 
34186792418.357426    0.246511 
32897033931.309120    0.233288 
31353434911.057545    0.203155 
29738771551.876953    0.186642 
28918461528.494904    0.193777 
28952649837.522099    0.204388 
28833928113.983944    0.204457 
28071861832.780762    0.195422 
27012101363.647358    0.185122 
26158735640.303753    0.180780 
32161334562.912895    0.243137 
30667909456.255890    0.222495 
30153675186.532200    0.197272 
29384997644.669510    0.193738 
28106299250.723282    0.204885 
27373275428.635895    0.207902 
27286379609.167915    0.202899 
27311842556.907326    0.194858 
27234526903.234509    0.185599 
26802692082.666973    0.181872 
30271841254.879360    0.236132 
29329194578.717556    0.216482 
29502685802.172550    0.200218 
29467456602.445930    0.205966 
28467841321.298023    0.215900 
27657290950.708782    0.210628 
27688572879.324352    0.200596 
28322627529.171898    0.191633 
28970080526.782585    0.181755 
28558335207.505848    0.176841 
30493076162.631893    0.227174 
29538054179.011719    0.213143 
29369605275.985527    0.205512 
29751581463.228550    0.215380 
29554946769.278877    0.220661 
28970717572.817593    0.209221 
28678891875.029465    0.196641 
28877835397.395496    0.187847 
29329882650.982674    0.179231 
29078264284.580906    0.175299 
31646957707.740467    0.214311 
30160867552.749500    0.206601 
29032436549.349499    0.205304 
29320048045.396420    0.216042 
29703753742.540131    0.216898 
29250409957.229664    0.203123 
28516286599.196846    0.191501 
27775285666.950520    0.183953 
27321846225.721725    0.177265 
27442722073.158123    0.178800 
31957172032.825451    0.203671 
30122543797.207947    0.198528 
28385021841.479843    0.199881 
28368779373.192619    0.210906 
28956004318.877846    0.212652 
28464986226.625957    0.201353 
27398449208.487766    0.190726 
26368686045.938427    0.182304 
25651120118.244843    0.175775 
26082055065.253147    0.182209 
32150921005.829372    0.205474 
30520667462.109268    0.197754 
28812930825.020523    0.196049 
28463276678.041386    0.204008 
28998609978.632442    0.209570 
28693277575.088562    0.204859 
27688482890.248287    0.195485 
26886674516.963173    0.185394 
26293630260.375896    0.177508 
26257626422.207813    0.182395 
32779537260.013489    0.207269 
32371146837.042816    0.202002 
31570314315.146854    0.198372 
30951779108.465546    0.198103 
30822349404.978153    0.201491 
30615878957.252262    0.203557 
30154859552.321140    0.201371 
29586170398.180241    0.195261 
28380392452.560349    0.185187 
26636714967.311665    0.180788 
32657291938.472607    0.186794 
33644651303.062584    0.185134 
34330647068.875889    0.186111 
34090242280.068855    0.184425 
33088216938.385593    0.188185 
32316895447.302563    0.200251 
32270660547.219193    0.213242 
32031553227.350239    0.216907 
29985493493.542339    0.201887 
26316141809.466740    0.180888 
