Young Modulus         Poison Coeficient
34960383109.470741    0.246059 
34436624926.697311    0.242153 
31790104828.673374    0.213584 
29439744547.479046    0.188703 
29648359569.199596    0.188903 
31345017802.093559    0.201555 
32056878988.417999    0.203462 
30850534532.066170    0.190618 
28644050384.693943    0.177558 
26936225990.984509    0.172401 
34140755233.936714    0.246515 
32888953740.495373    0.233298 
31377929180.516098    0.203193 
29787215717.281586    0.186716 
28953828470.915043    0.193789 
28946429951.372036    0.204260 
28802505481.263023    0.204228 
28046001168.268661    0.195180 
27006103568.874519    0.184955 
26176943937.824764    0.180735 
32116887281.524094    0.243119 
30666233902.023830    0.222421 
30181991374.995121    0.197119 
29426650241.299557    0.193530 
28134928017.958992    0.204639 
27368966508.326385    0.207604 
27260108522.800949    0.202587 
27290067659.253475    0.194599 
27227268451.525524    0.185432 
26821145698.254513    0.181833 
30228372328.786678    0.236129 
29331054321.884941    0.216476 
29534516304.604591    0.200172 
29501043456.063572    0.205891 
28487054607.381554    0.215834 
27652995154.341152    0.210559 
27665987268.304333    0.200514 
28303206390.612217    0.191563 
28962883717.208981    0.181699 
28573249411.577507    0.176826 
30448857961.041180    0.227214 
29540390096.009514    0.213319 
29404220611.559673    0.205771 
29777413853.565563    0.215649 
29562570300.008476    0.220951 
28965206787.865108    0.209532 
28660435227.515530    0.196928 
28860135685.823261    0.188074 
29325011640.657646    0.179358 
29086752453.063736    0.175328 
31606369460.715633    0.214368 
30161446762.097374    0.206848 
29067908077.988731    0.205700 
29340244338.854149    0.216442 
29701287709.234154    0.217280 
29244353069.001816    0.203521 
28503896304.880745    0.191881 
27760258327.165661    0.184255 
27320089370.778454    0.177451 
27447120800.192890    0.178844 
31927824384.387127    0.203676 
30120870025.987358    0.198574 
28419014190.253990    0.199966 
28386336771.006233    0.210929 
28949172527.280594    0.212603 
28460791248.797649    0.201309 
27393067137.408440    0.190709 
26357740496.078648    0.182290 
25651660220.471004    0.175773 
26086454009.884148    0.182207 
32134563768.790642    0.205451 
30516667824.850967    0.197644 
28841570451.262302    0.195854 
28478053910.265999    0.203665 
28991050481.448582    0.209100 
28691489166.285393    0.204379 
27688326545.655376    0.195082 
26879680272.809799    0.185096 
26295236779.312443    0.177345 
26262797091.141220    0.182357 
32773456643.663921    0.207228 
32366631501.262222    0.201843 
31589621097.233952    0.198143 
30961467736.719280    0.197789 
30815747965.340672    0.201105 
30614514746.670982    0.203218 
30155850390.983994    0.201144 
29581846511.157570    0.195126 
28381482906.714882    0.185121 
26640370071.177593    0.180774 
32656459297.082298    0.186766 
33643435909.482315    0.184973 
34337214620.158268    0.185835 
34093122881.090591    0.184273 
33084595037.871624    0.188307 
32314225285.791672    0.200543 
32268590531.052410    0.213564 
32028125528.364166    0.217177 
29984663759.083908    0.202041 
26316902756.612270    0.180928 
